                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     96,                 1.3508,                  1.046,                 1.1853,                0.67234,                0.48981,                0.55844,                0.35324,                 1.2771,                0.86795,                 1.1172,              0.0076488,              0.0076488,              0.0076488
                     97,                 1.3521,                 1.0469,                  1.187,                0.67602,                0.48806,                0.55836,                0.35289,                 1.2771,                0.86765,                 1.1172,               0.007624,               0.007624,               0.007624
                     98,                 1.3523,                 1.0465,                 1.1862,                0.67464,                0.48826,                0.55854,                0.35315,                 1.2767,                0.86743,                  1.117,              0.0075993,              0.0075993,              0.0075993
                     99,                 1.3507,                 1.0452,                 1.1854,                0.67506,                0.48858,                0.55866,                0.35287,                 1.2764,                  0.867,                 1.1168,              0.0075745,              0.0075745,              0.0075745
                    100,                 1.3498,                 1.0455,                 1.1862,                0.67522,                0.48836,                  0.559,                0.35319,                 1.2762,                0.86674,                 1.1167,              0.0075498,              0.0075498,              0.0075498
                    101,                 1.3496,                 1.0443,                 1.1842,                0.67626,                 0.4897,                0.55916,                0.35348,                 1.2761,                0.86664,                 1.1166,               0.007525,               0.007525,               0.007525
                    102,                 1.3497,                 1.0445,                 1.1844,                0.67933,                0.48823,                  0.559,                0.35377,                  1.276,                0.86637,                 1.1164,              0.0075003,              0.0075003,              0.0075003
                    103,                 1.3501,                 1.0443,                 1.1848,                0.68278,                0.48748,                0.55982,                0.35425,                 1.2759,                0.86584,                 1.1162,              0.0074755,              0.0074755,              0.0074755
                    104,                 1.3498,                 1.0438,                  1.184,                 0.6813,                0.49075,                0.55987,                0.35443,                 1.2758,                0.86547,                 1.1161,              0.0074507,              0.0074507,              0.0074507
                    105,                 1.3477,                 1.0423,                  1.184,                0.68165,                0.48758,                0.55985,                0.35445,                 1.2756,                0.86528,                 1.1161,               0.007426,               0.007426,               0.007426
                    106,                 1.3487,                 1.0419,                 1.1842,                0.68546,                0.48541,                0.56033,                0.35447,                 1.2756,                0.86487,                 1.1159,              0.0074013,              0.0074013,              0.0074013
