                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    122,                 1.1927,                 1.0669,                 1.2363,                0.70898,                0.50979,                0.59445,                0.39929,                      0,                    inf,                      0,               0.006007,               0.006007,               0.006007
                    123,                 1.1918,                   1.07,                 1.2364,                0.70608,                0.50993,                0.59388,                0.39928,                      0,                    inf,                      0,               0.005974,               0.005974,               0.005974
                    124,                 1.1921,                 1.0661,                 1.2355,                0.70672,                0.51043,                0.59407,                0.40011,                      0,                    inf,                      0,               0.005941,               0.005941,               0.005941
                    125,                 1.1932,                 1.0679,                 1.2359,                0.69495,                0.52169,                0.59562,                0.40049,                      0,                    inf,                      0,               0.005908,               0.005908,               0.005908
                    126,                 1.1897,                 1.0646,                 1.2321,                0.70564,                0.51754,                0.59555,                0.40004,                      0,                    inf,                      0,               0.005875,               0.005875,               0.005875
                    127,                 1.1901,                 1.0649,                 1.2336,                0.70597,                0.52119,                0.59537,                0.39957,                      0,                    inf,                      0,               0.005842,               0.005842,               0.005842
                    128,                 1.1894,                 1.0617,                 1.2324,                0.70799,                0.51756,                0.59428,                0.39885,                      0,                    inf,                      0,               0.005809,               0.005809,               0.005809
                    129,                 1.1893,                 1.0632,                 1.2321,                0.70037,                 0.5208,                0.59374,                0.39835,                      0,                    inf,                      0,               0.005776,               0.005776,               0.005776
                    130,                 1.1883,                  1.059,                 1.2313,                0.69083,                0.52499,                0.59469,                0.39832,                      0,                    inf,                      0,               0.005743,               0.005743,               0.005743
                    131,                 1.1881,                 1.0595,                 1.2309,                0.68917,                0.52775,                0.59509,                0.39872,                      0,                    inf,                      0,                0.00571,                0.00571,                0.00571
                    132,                 1.1894,                 1.0612,                 1.2311,                0.68301,                0.52694,                0.59479,                0.39935,                      0,                    inf,                      0,               0.005677,               0.005677,               0.005677
                    133,                  1.187,                 1.0593,                 1.2302,                 0.6832,                0.52986,                0.59492,                0.39905,                      0,                    inf,                      0,               0.005644,               0.005644,               0.005644
                    134,                 1.1844,                 1.0576,                 1.2299,                0.69673,                0.52289,                0.59583,                0.39915,                      0,                    inf,                      0,               0.005611,               0.005611,               0.005611
                    135,                 1.1851,                 1.0562,                 1.2283,                0.70008,                0.52012,                 0.5968,                0.39973,                      0,                    inf,                      0,               0.005578,               0.005578,               0.005578
                    136,                 1.1878,                  1.057,                 1.2304,                 0.7033,                0.52122,                0.59603,                0.40035,                      0,                    inf,                      0,               0.005545,               0.005545,               0.005545
                    137,                 1.1857,                 1.0573,                 1.2298,                0.69016,                0.52757,                0.59667,                0.40044,                      0,                    inf,                      0,               0.005512,               0.005512,               0.005512
                    138,                  1.184,                 1.0533,                 1.2281,                0.69304,                0.52713,                0.59824,                0.40116,                      0,                    inf,                      0,               0.005479,               0.005479,               0.005479
                    139,                 1.1873,                 1.0577,                 1.2301,                0.69252,                0.52496,                0.59861,                0.40111,                      0,                    inf,                      0,               0.005446,               0.005446,               0.005446
                    140,                 1.1831,                 1.0539,                 1.2272,                0.69071,                 0.5251,                 0.5993,                0.40137,                      0,                    inf,                      0,               0.005413,               0.005413,               0.005413
                    141,                 1.1786,                 1.0535,                 1.2274,                 0.6957,                0.52502,                0.59941,                0.40242,                      0,                    inf,                      0,                0.00538,                0.00538,                0.00538
                    142,                 1.1847,                 1.0524,                 1.2271,                0.69426,                0.52718,                0.59972,                0.40229,                      0,                    inf,                      0,               0.005347,               0.005347,               0.005347
                    143,                 1.1814,                 1.0512,                 1.2254,                0.68755,                0.52992,                0.60008,                0.40154,                      0,                    inf,                      0,               0.005314,               0.005314,               0.005314
                    144,                   1.18,                 1.0499,                 1.2233,                0.69305,                0.52547,                0.59973,                0.40125,                      0,                    inf,                      0,               0.005281,               0.005281,               0.005281
                    145,                   1.18,                 1.0487,                 1.2234,                0.69389,                0.52664,                0.60017,                0.40137,                      0,                    inf,                      0,               0.005248,               0.005248,               0.005248
                    146,                 1.1807,                 1.0504,                 1.2233,                0.69419,                0.52922,                0.60095,                0.40142,                      0,                    inf,                      0,               0.005215,               0.005215,               0.005215
                    147,                 1.1799,                 1.0469,                 1.2232,                0.69481,                0.53147,                0.60058,                 0.4017,                      0,                    inf,                      0,               0.005182,               0.005182,               0.005182
                    148,                 1.1787,                  1.047,                 1.2214,                0.69536,                0.53178,                0.60018,                0.40209,                      0,                    inf,                      0,               0.005149,               0.005149,               0.005149
                    149,                 1.1763,                 1.0432,                 1.2203,                0.68352,                0.53812,                0.60059,                  0.402,                      0,                    inf,                      0,               0.005116,               0.005116,               0.005116
                    150,                 1.1795,                 1.0439,                 1.2213,                0.67843,                0.54336,                0.60224,                0.40307,                      0,                    inf,                      0,               0.005083,               0.005083,               0.005083
                    151,                 1.1785,                 1.0436,                   1.22,                 0.6883,                0.53476,                0.60194,                0.40397,                      0,                    inf,                      0,                0.00505,                0.00505,                0.00505
                    152,                  1.177,                 1.0451,                 1.2214,                 0.6794,                0.54315,                0.60262,                0.40414,                      0,                    inf,                      0,               0.005017,               0.005017,               0.005017
                    153,                 1.1756,                 1.0414,                 1.2194,                0.68102,                0.53947,                0.60321,                0.40439,                      0,                    inf,                      0,               0.004984,               0.004984,               0.004984
                    154,                 1.1762,                  1.041,                 1.2183,                0.68682,                0.53747,                0.60299,                0.40473,                      0,                    inf,                      0,               0.004951,               0.004951,               0.004951
                    155,                 1.1733,                 1.0391,                 1.2186,                 0.6864,                0.54062,                0.60302,                0.40481,                      0,                    inf,                      0,               0.004918,               0.004918,               0.004918
                    156,                 1.1728,                 1.0401,                 1.2172,                0.68696,                0.54348,                 0.6041,                0.40472,                      0,                    inf,                      0,               0.004885,               0.004885,               0.004885
                    157,                  1.173,                 1.0388,                 1.2189,                0.68042,                0.54591,                0.60357,                0.40505,                      0,                    inf,                      0,               0.004852,               0.004852,               0.004852
                    158,                 1.1729,                 1.0391,                 1.2168,                  0.677,                0.54498,                0.60321,                0.40558,                      0,                    inf,                      0,               0.004819,               0.004819,               0.004819
                    159,                 1.1713,                 1.0364,                 1.2166,                0.67989,                0.54261,                0.60271,                0.40555,                      0,                    inf,                      0,               0.004786,               0.004786,               0.004786
                    160,                 1.1695,                 1.0362,                 1.2162,                0.68529,                0.54063,                0.60384,                0.40692,                      0,                    inf,                      0,               0.004753,               0.004753,               0.004753
                    161,                 1.1718,                 1.0378,                 1.2175,                0.68562,                0.53735,                0.60415,                0.40721,                      0,                    inf,                      0,                0.00472,                0.00472,                0.00472
                    162,                 1.1712,                 1.0349,                 1.2165,                0.68872,                0.53613,                0.60364,                0.40712,                      0,                    inf,                      0,               0.004687,               0.004687,               0.004687
                    163,                 1.1728,                 1.0342,                 1.2142,                0.68634,                0.53808,                0.60416,                0.40746,                      0,                    inf,                      0,               0.004654,               0.004654,               0.004654
                    164,                 1.1698,                 1.0342,                 1.2141,                0.68428,                0.53591,                0.60375,                0.40778,                      0,                    inf,                      0,               0.004621,               0.004621,               0.004621
                    165,                 1.1708,                 1.0319,                 1.2179,                0.67988,                0.53708,                 0.6035,                0.40789,                      0,                    inf,                      0,               0.004588,               0.004588,               0.004588
                    166,                 1.1694,                 1.0333,                 1.2135,                0.68898,                 0.5344,                0.60388,                0.40791,                      0,                    inf,                      0,               0.004555,               0.004555,               0.004555
                    167,                  1.171,                 1.0306,                 1.2138,                0.68336,                0.53995,                0.60512,                0.40805,                      0,                    inf,                      0,               0.004522,               0.004522,               0.004522
